,ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
105,DE0006599905,MRK,MERCK KGAA O.N.,Common stock,EUR,2505050,2018-10-10,15:00,89.7,89.7,89.68,89.7,1620,14
106,DE000A2E4L75,LINU,LINDE AG O.N. Z.UMT.,Common stock,EUR,2600157,2018-10-10,15:00,204.1,204.1,204.0,204.0,365,5
107,DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.,Common stock,EUR,2504888,2018-10-10,15:00,9.615,9.617,9.603,9.606,18565,22
108,DE000A0S8488,HHFA,HAMBURG.HAFEN LOG.A-SP NA,Common stock,EUR,2504409,2018-10-10,15:00,19.3,19.3,19.3,19.3,254,3
109,DE000LEG1110,LEG,LEG IMMOBILIEN AG NA O.N.,Common stock,EUR,2504814,2018-10-10,15:00,97.72,97.72,97.66,97.68,372,8
110,DE000A0Z2ZZ5,FNTN,FREENET AG NA O.N.,Common stock,EUR,2504438,2018-10-10,15:00,19.105,19.11,19.095,19.105,4225,18
111,DE000PAH0038,PAH3,PORSCHE AUTOM.HLDG VZO,Common stock,EUR,2504816,2018-10-10,15:00,54.64,54.64,54.58,54.58,5598,17
112,DE000A12UKK6,RKET,ROCKET INTERNET SE,Common stock,EUR,2504560,2018-10-10,15:00,25.06,25.06,25.06,25.06,281,1
113,DE000A2E4K43,DHER,DELIVERY HERO SE NA O.N.,Common stock,EUR,2518798,2018-10-10,15:00,35.18,35.18,35.14,35.16,1171,4
114,DE000A1J5RX9,O2D,TELEFONICA DTLD HLDG NA,Common stock,EUR,2504492,2018-10-10,15:00,3.5460000000000003,3.5469999999999997,3.545,3.545,11046,11
115,LU0252634307,LYY8,MUL-LYX.DLY.LEVDAX U.E. A,ETF,EUR,2504268,2018-10-10,15:00,93.32,93.32,93.32,93.32,4,1
116,DE0005936124,OHB,OHB SE   O.N.,Common stock,EUR,2504994,2018-10-10,15:00,31.65,31.65,31.65,31.65,4,1
117,LU0274211217,DBXE,XTR.EURO STOXX 50 1D,ETF,EUR,2506401,2018-10-10,15:00,34.705,34.705,34.705,34.705,2000,1
118,DE0007500001,TKA,THYSSENKRUPP AG O.N.,Common stock,EUR,2505105,2018-10-10,15:00,20.7,20.7,20.67,20.67,14565,26
119,DE0007030009,RHM,RHEINMETALL AG,Common stock,EUR,2505071,2018-10-10,15:00,78.1,78.1,78.04,78.04,542,8
120,LU1704650164,BFSA,BEFESA S.A.ORD.REG. EO 1,Common stock,EUR,2759536,2018-10-10,15:00,39.55,39.6,39.55,39.6,561,6
121,CA0679011084,ABR,BARRICK GOLD CORP.,Common stock,EUR,2504196,2018-10-10,15:00,9.7,9.7,9.7,9.7,400,1
122,DE000PSM7770,PSM,PROSIEBENSAT.1  NA O.N.,Common stock,EUR,2504848,2018-10-10,15:00,22.16,22.16,22.15,22.15,1606,4
123,DE0005933931,EXS1,ISHS CORE DAX UCITS ETF,ETF,EUR,2504265,2018-10-10,15:00,101.16,101.16,101.16,101.16,300,1
124,IE00BYZK4552,2B76,ISHS IV-AUTO.+ROBOTIC.ETF,ETF,EUR,2505551,2018-10-10,15:00,5.8839999999999995,5.8839999999999995,5.882999999999999,5.882999999999999,400,2
125,DE0006766504,NDA,AURUBIS AG,Common stock,EUR,2505060,2018-10-10,15:00,54.74,54.74,54.66,54.66,822,13
126,DE0005664809,EVT,EVOTEC AG O.N.,Common stock,EUR,2504963,2018-10-10,15:00,15.835,15.85,15.83,15.83,1925,9
127,DE0005550602,DRW8,DRAEGERWERK ST.A.O.N.,Common stock,EUR,2504951,2018-10-10,15:00,48.9,49.15,48.9,49.15,39,2
128,DE0005790406,FPE,FUCHS PETROLUB SE O.N.,Common stock,EUR,2504975,2018-10-10,15:00,39.5,39.55,39.35,39.45,145,4
129,DE000SYM9999,SY1,SYMRISE AG INH. O.N.,Common stock,EUR,2504852,2018-10-10,15:00,72.94,72.98,72.88,72.96,1681,16
